instrument_name,strike,tipo,vencimento,mark_iv,mark_price_btc,underlying_price,best_bid,best_ask,open_interest,volume_24h,delta,gamma,vega,theta
ETH-3SEP26-2280-C,2280.0,CALL,2026-09-03 08:00:00+00:00,52.11,0.0528,2404.99,0.0001,0.0,0.0,0.0,0.9435,0.00139,0.17853,-2.98634
ETH-3SEP26-2280-P,2280.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2300-C,2300.0,CALL,2026-09-03 08:00:00+00:00,49.23,0.0448,2404.97,0.0001,0.0,0.0,0.0,0.91982,0.00193,0.23395,-3.69679
ETH-3SEP26-2300-P,2300.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2320-C,2320.0,CALL,2026-09-03 08:00:00+00:00,46.35,0.037,2404.97,0.0001,0.0,0.0,0.0,0.88552,0.00266,0.30396,-4.52261
ETH-3SEP26-2320-P,2320.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2340-C,2340.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2340-P,2340.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2360-C,2360.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2360-P,2360.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2380-C,2380.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2380-P,2380.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2400-C,2400.0,CALL,2026-09-03 08:00:00+00:00,40.56,0.0116,2404.97,0.011,0.0125,154.0,286.0,0.53638,0.00623,0.62416,-8.12596
ETH-3SEP26-2400-P,2400.0,PUT,2026-09-03 08:00:00+00:00,40.56,0.0096,2404.97,0.009,0.0105,145.0,49.0,-0.46362,0.00623,0.62416,-8.12596
ETH-3SEP26-2420-C,2420.0,CALL,2026-09-03 08:00:00+00:00,40.25,0.0077,2404.97,0.0075,0.008,3.0,3.0,0.41147,0.00615,0.61127,-7.89846
ETH-3SEP26-2420-P,2420.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2440-C,2440.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2440-P,2440.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2460-C,2460.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2460-P,2460.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2480-C,2480.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2480-P,2480.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2500-C,2500.0,CALL,2026-09-03 08:00:00+00:00,44.37,0.0012,2404.99,0.0012,0.0016,431.0,244.0,0.09306,0.00239,0.26153,-2.9918
ETH-3SEP26-2500-P,2500.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2520-C,2520.0,CALL,2026-09-03 08:00:00+00:00,46.05,0.0008,2404.97,0.0007,0.001,179.0,98.0,0.06203,0.00169,0.19209,-1.92272
ETH-3SEP26-2520-P,2520.0,PUT,2026-09-03 08:00:00+00:00,46.05,0.0486,2404.97,0.0001,0.0,0.0,0.0,-0.93797,0.00169,0.19209,-2.83979
ETH-3SEP26-2540-C,2540.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2540-P,2540.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2560-C,2560.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2560-P,2560.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2580-C,2580.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2580-P,2580.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2600-C,2600.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2600-P,2600.0,PUT,2026-09-03 08:00:00+00:00,53.04,0.0812,2404.97,0.0001,0.0,0.0,0.0,-0.98723,0.0004,0.05178,-0.88154
ETH-3SEP26-2620-C,2620.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2620-P,2620.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2640-C,2640.0,CALL,2026-09-03 08:00:00+00:00,57.78,0.0001,2404.97,0.0,0.0002,3.0,0.0,0.00711,0.00022,0.03105,-0.20893
ETH-3SEP26-2640-P,2640.0,PUT,2026-09-03 08:00:00+00:00,57.78,0.0978,2404.99,0.0001,0.0,0.0,0.0,-0.99288,0.00022,0.03107,-0.57615
ETH-3SEP26-2650-C,2650.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2650-P,2650.0,PUT,2026-09-03 08:00:00+00:00,58.17,0.1019,2404.97,0.0001,0.0,0.0,0.0,-0.99436,0.00018,0.02527,-0.47185
ETH-3SEP26-2660-C,2660.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2660-P,2660.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2680-C,2680.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2680-P,2680.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2700-C,2700.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2700-P,2700.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2750-C,2750.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2750-P,2750.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2800-C,2800.0,CALL,2026-09-03 08:00:00+00:00,73.62,0.0,2404.98,0.0,0.0001,21.0,20.0,0.00085,3e-05,0.00456,-0.02661
ETH-3SEP26-2800-P,2800.0,PUT,2026-09-03 08:00:00+00:00,73.62,0.1643,2405.35,0.0,0.0,0.0,0.0,-0.99914,3e-05,0.00461,-0.10887
ETH-3SEP26-2900-C,2900.0,CALL,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-3SEP26-2900-P,2900.0,PUT,2026-09-03 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1600-C,1600.0,CALL,2026-09-04 08:00:00+00:00,116.98,0.3348,2405.33,0.0,0.0,18.0,0.0,0.99999,0.0,0.00011,-0.00258
ETH-4SEP26-1600-P,1600.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1700-C,1700.0,CALL,2026-09-04 08:00:00+00:00,114.9,0.2932,2405.33,0.0,0.0,18.0,0.0,0.99987,0.0,0.001,-0.02256
ETH-4SEP26-1700-P,1700.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1750-C,1750.0,CALL,2026-09-04 08:00:00+00:00,109.24,0.2725,2405.33,0.0,0.0,0.0,0.0,0.99979,0.0,0.00161,-0.03448
ETH-4SEP26-1750-P,1750.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1800-C,1800.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1800-P,1800.0,PUT,2026-09-04 08:00:00+00:00,108.54,0.0,2405.33,0.0,0.0001,1878.0,0.0,-0.00061,1e-05,0.00427,-0.0362
ETH-4SEP26-1850-C,1850.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1850-P,1850.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-1900-C,1900.0,CALL,2026-09-04 08:00:00+00:00,105.33,0.2102,2405.33,0.0,0.0,409.0,0.0,0.99672,5e-05,0.01994,-0.41066
ETH-4SEP26-1900-P,1900.0,PUT,2026-09-04 08:00:00+00:00,105.33,0.0001,2405.33,0.0,0.0001,2603.0,0.0,-0.00328,5e-05,0.01994,-0.21682
ETH-4SEP26-1950-C,1950.0,CALL,2026-09-04 08:00:00+00:00,101.97,0.1895,2405.7,0.0,0.0,3288.0,0.0,0.99384,8e-05,0.03504,-0.69845
ETH-4SEP26-1950-P,1950.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2000-C,2000.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2000-P,2000.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2050-C,2050.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2050-P,2050.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2080-C,2080.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2080-P,2080.0,PUT,2026-09-04 08:00:00+00:00,81.09,0.0004,2405.7,0.0,0.0009,788.0,145.0,-0.01474,0.00023,0.07514,-0.87668
ETH-4SEP26-2100-C,2100.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2100-P,2100.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2150-C,2150.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2150-P,2150.0,PUT,2026-09-04 08:00:00+00:00,69.03,0.0005,2405.7,0.0004,0.0006,2616.0,171.0,-0.02422,0.00041,0.11461,-1.30146
ETH-4SEP26-2200-C,2200.0,CALL,2026-09-04 08:00:00+00:00,61.25,0.0862,2405.33,0.0575,0.0,1257.0,0.0,0.9613,0.00068,0.16891,-2.02253
ETH-4SEP26-2200-P,2200.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2250-C,2250.0,CALL,2026-09-04 08:00:00+00:00,53.85,0.0659,2405.33,0.0,0.0,573.0,0.0,0.93366,0.00119,0.25937,-2.73024
ETH-4SEP26-2250-P,2250.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2300-C,2300.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2300-P,2300.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2350-C,2350.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2350-P,2350.0,PUT,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2380-C,2380.0,CALL,2026-09-04 08:00:00+00:00,,,,,,0.0,,,,,
ETH-4SEP26-2380-P,2380.0,PUT,2026-09-04 08:00:00+00:00,42.9,0.0096,2405.7,0.009,0.01,440.0,440.0,-0.3756,0.00439,0.764,-6.40676
